name,latitude,longitude,zone_type
appo jigudda,17.3609,78.27325,bus_stop
appo jigudda,17.3607,78.27318,bus_stop
appojiguda bus stop,17.37173,78.27556,bus_stop
apsrtc b.m.r.s school bus stop,17.43111,78.60836,bus_stop
apsrtc bus station,17.36745,78.58152,bus_stop
apsrtc bus stop,17.45623,78.37744,bus_stop
apsrtc bus stop,17.48469,78.40649,bus_stop
apsrtc bus stop,17.44622,78.52637,bus_stop
apsrtc bus stop,17.48523,78.39418,bus_stop
apsrtc commuter amenity centre,17.47348,78.42682,bus_stop
apsrtc kukatpally bus stand,17.47347,78.4268,bus_stop
apsrtc ranigunj-1 & 2 depots,17.43077,78.48804,bus_stop
apsrtc-shankarpalli,17.45559,78.1311,bus_stop
aptdc bus stop,17.35897,78.47108,bus_stop
aptdc hop-on hop-off bus stop,17.37195,78.48025,bus_stop
apurupa colony,17.53094,78.44931,bus_stop
apurupa colony,17.53069,78.44931,bus_stop
aram ghar,17.32041,78.42969,bus_stop
aramghar,17.32153,78.43255,bus_stop
aramghar,17.3218,78.43133,bus_stop
aramghar,17.32322,78.4303,bus_stop
aramghar,17.32677,78.42555,bus_stop
aramghar x roads,17.32258,78.43276,bus_stop
aramghar x roads,17.32114,78.43165,bus_stop
arch temple,17.45894,78.59424,bus_stop
are bus stop,17.3214,78.39958,bus_stop
arts college bus stop,17.41377,78.5214,bus_stop
arts college railway station,17.41775,78.51931,bus_stop
arts college railway station,17.41774,78.51946,bus_stop
arunodaya nagar,17.37346,78.56307,bus_stop
arunodaya nagar,17.37325,78.56328,bus_stop
as rao nagar,17.48057,78.55648,bus_stop
as rao nagar,17.47953,78.55834,bus_stop
as rao nagar (pickup van/bus),17.47796,78.5614,bus_stop
asbestas colony bus stop,17.49361,78.42493,bus_stop
asbestos colony,17.49329,78.43576,bus_stop
asbestos colony,17.49323,78.43551,bus_stop
asbestos kamman bus stop,17.49502,78.43173,bus_stop
ascendas,17.43515,78.38317,bus_stop
ascendas,17.43579,78.38197,bus_stop
ashish gardens,17.45742,78.47804,bus_stop
ashish gardens,17.45733,78.4784,bus_stop
ashok gardens,17.46897,78.48321,bus_stop
ashok gardens,17.46891,78.48333,bus_stop
ashok nagar,17.44969,78.58052,bus_stop
ashok nagar,17.44998,78.58101,bus_stop
ashok nagar,17.50322,78.31087,bus_stop
ashok nagar,17.50699,78.30387,bus_stop
ashok nagar,17.40877,78.49057,bus_stop
ashok nagar,17.4069,78.48971,bus_stop
ashok nagar,17.40873,78.49108,bus_stop
ashok nagar,17.40597,78.48968,bus_stop
ashok nagar (bhel),17.50486,78.30764,bus_stop
ashok nagar (bhel),17.50225,78.31178,bus_stop
ashok nagar bus stop,17.44966,78.58043,bus_stop
ashok nagar bus stop,17.50422,78.30862,bus_stop
ashok nagar bus stop,17.50452,78.30873,bus_stop
ashok nagar bus stop,17.40835,78.48966,bus_stop
ashok nagar lp,17.50466,78.30845,bus_stop
ashok nagar x road,17.40884,78.48957,bus_stop
ashok nagar x road,17.41001,78.48922,bus_stop
ashok nagar x road,17.4102,78.4892,bus_stop
asif nagar,17.38988,78.45162,bus_stop
asif nagar,17.38999,78.45182,bus_stop
asmathpur bus stop,17.12486,78.72586,bus_stop
asrao nagar,17.47991,78.55718,bus_stop
assembly / air,17.40017,78.47001,bus_stop
assembly / air,17.40144,78.4699,bus_stop
athvelly,17.6497,78.48793,bus_stop
athvelly,17.64988,78.48777,bus_stop
attapur,17.36427,78.4282,bus_stop
attapur,17.37039,78.42919,bus_stop
attapur bus stop,17.37036,78.42901,bus_stop
attapur bus stop,17.37023,78.42939,bus_stop
attapur x road,17.37003,78.42946,bus_stop
aushapur railway gate,17.45276,78.68516,bus_stop
aushapur railway gate,17.45289,78.68526,bus_stop
autonagar,17.33597,78.57888,bus_stop
autonagar,17.33604,78.58069,bus_stop
avancha bus stop,17.71735,78.23149,bus_stop
aware global hospital,17.34325,78.53799,bus_stop
aware global hospital,17.34346,78.53809,bus_stop
ayodhya junction,17.58918,78.47338,bus_stop
ayodhya junction,17.58935,78.47297,bus_stop
ayyappa colony,17.49637,78.59564,bus_stop
ayyappa colony,17.49639,78.59548,bus_stop
ayyappa ground bus station,17.44089,78.43679,bus_stop
azampura,17.3775,78.48914,bus_stop
azampura,17.37741,78.48883,bus_stop
aziz nagar 3,17.33384,78.32833,bus_stop
aziz nagar 3,17.33433,78.32819,bus_stop
aziz nagar bus stop,17.34422,78.32466,bus_stop
