name,latitude,longitude,zone_type
"T&T Colony, Gaddiannaram, Ward No. 23",17.3668729,78.5242003,flood_vulnerable
"Tapovan colony, Lingojiguda,Ward No.18",17.3465728,78.5316896,flood_vulnerable
"Taqath Bowli Sajjad Colony Raghavama Kancha Sadath Nagar
Saleh Nagar",17.383252,78.4115938,flood_vulnerable
Thokatta Village (Indiramma Nagar),17.385044,78.486671,flood_vulnerable
Turkapally,17.6708405,78.6029862,flood_vulnerable
"TV Colony, Uppal, Ward No.10",17.4131455,78.5683777,flood_vulnerable
Uday Nagar Colony,17.4512776,78.4421555,flood_vulnerable
"Uppal Busstand back side, Uppal, Ward No.10",17.4131455,78.5683777,flood_vulnerable
Vaibhav Nagar Colony Bagh Amberpet,17.3962058,78.5143337,flood_vulnerable
"Vasavi Reddy nagar, Habsiguda, Ward No.8",17.3805282,78.3826143,flood_vulnerable
Vengal Rao Nagar Slum,17.4425851,78.4390881,flood_vulnerable
"Venkanna Hills, Jeedimetla",17.5003465,78.4625841,flood_vulnerable
Venkateshwar Nagar,17.5011567,78.4244518,flood_vulnerable
"Venkateshwara Nagar, Quthubullapur",17.5009599,78.4566031,flood_vulnerable
Vignanpuri,17.312725,78.5570104,flood_vulnerable
Vinobha Nagar,17.4046219,78.3943544,flood_vulnerable
Vivek Anand Nagar Shaikpet,17.4045321,78.4010607,flood_vulnerable
