date,reg_rider,reg_driver,rider_to_driver_ratio
2024-03-23,1301,425,3.061176470588235
2024-03-24,944,147,6.421768707482993
2024-03-25,982,111,8.846846846846846
2024-03-26,952,314,3.031847133757962
2024-03-27,1056,269,3.925650557620818
2024-03-28,1005,307,3.273615635179153
2024-03-29,880,378,2.328042328042328
2024-03-30,929,282,3.2943262411347516
2024-03-31,1098,68,16.147058823529413
2024-04-01,1050,228,4.605263157894737
2024-04-02,873,289,3.0207612456747404
2024-04-03,923,215,4.293023255813954
2024-04-04,1062,226,4.699115044247788
2024-04-05,1019,238,4.281512605042017
2024-04-06,936,238,3.9327731092436973
2024-04-07,831,79,10.518987341772151
2024-04-08,722,213,3.3896713615023475
2024-04-09,579,79,7.329113924050633
2024-04-10,689,205,3.3609756097560974
2024-04-11,708,47,15.063829787234043
2024-04-12,903,207,4.36231884057971
2024-04-13,919,206,4.461165048543689
2024-04-14,857,58,14.775862068965518
2024-04-15,1028,209,4.91866028708134
2024-04-16,868,222,3.90990990990991
2024-04-17,813,281,2.893238434163701
2024-04-18,877,218,4.022935779816514
2024-04-19,767,235,3.2638297872340427
2024-04-20,785,256,3.06640625
2024-04-21,1057,69,15.318840579710145
2024-04-22,1169,201,5.8159203980099505
2024-04-23,926,219,4.228310502283105
2024-04-24,1152,220,5.236363636363636
2024-04-25,1120,248,4.516129032258065
2024-04-26,1048,177,5.9209039548022595
2024-04-27,950,151,6.291390728476821
2024-04-28,1050,66,15.909090909090908
2024-04-29,1126,119,9.46218487394958
2024-04-30,1014,213,4.76056338028169
2024-05-01,979,69,14.18840579710145
2024-05-02,1511,204,7.4068627450980395
2024-05-03,1471,232,6.3405172413793105
2024-05-04,1380,190,7.2631578947368425
2024-05-05,1202,101,11.900990099009901
2024-05-06,1230,201,6.119402985074627
2024-05-07,1892,156,12.128205128205128
2024-05-08,1191,214,5.565420560747664
2024-05-09,1103,238,4.6344537815126055
2024-05-10,1122,242,4.636363636363637
2024-05-11,1138,256,4.4453125
