date,city_code,reg_rider,reg_driver
2022-06-04,COK,23,0
2022-06-05,COK,14,1
2022-06-06,COK,9,0
2022-06-07,COK,16,0
2022-06-08,COK,11,0
2022-06-09,COK,16,0
2022-06-10,COK,18,0
2022-06-11,COK,12,0
2022-06-12,COK,5,0
2022-06-13,COK,16,1
2022-06-14,COK,13,0
2022-06-15,COK,15,0
2022-06-16,COK,8,0
2022-06-17,COK,20,1
2022-06-18,COK,12,0
2022-06-19,COK,6,0
2022-06-20,COK,13,0
2022-06-21,COK,8,1
2022-06-22,COK,7,1
2022-06-23,COK,9,1
2022-06-24,COK,6,1
2022-06-25,COK,10,0
2022-06-26,COK,4,0
2022-06-27,COK,18,0
2022-06-28,COK,45,0
2022-06-29,COK,40,0
2022-06-30,COK,46,0
2022-07-01,COK,51,1
2022-07-02,COK,57,1
2022-07-03,COK,64,0
2022-07-04,COK,42,4
2022-07-05,COK,58,0
2022-07-06,COK,49,1
2022-07-07,COK,55,0
2022-07-08,COK,69,0
2022-07-09,COK,22,0
2022-07-10,COK,12,0
2022-07-11,COK,14,0
2022-07-12,COK,46,0
2022-07-13,COK,84,5
2022-07-14,COK,78,2
2022-07-15,COK,61,1
2022-07-16,COK,145,0
2022-07-17,COK,97,0
2022-07-18,COK,90,0
2022-07-19,COK,58,6
2022-07-20,COK,63,1
2022-07-21,COK,67,8
2022-07-22,COK,55,2
2022-07-23,COK,20,1
2022-07-24,COK,47,0
2022-07-25,COK,83,1
2022-07-26,COK,55,2
2022-07-27,COK,64,1
2022-07-28,COK,60,0
2022-07-29,COK,81,1
2022-07-30,COK,85,1
2022-07-31,COK,97,0
2022-08-01,COK,100,0
2022-08-02,COK,62,0
2022-08-03,COK,73,0
2022-08-04,COK,75,0
2022-08-05,COK,72,1
2022-08-06,COK,90,0
2022-08-07,COK,102,0
2022-08-08,COK,108,1
2022-08-09,COK,73,0
2022-08-10,COK,71,0
2022-08-11,COK,64,0
2022-08-12,COK,99,0
2022-08-13,COK,74,0
2022-08-14,COK,71,0
2022-08-15,COK,72,1
2022-08-16,COK,79,0
2022-08-17,COK,90,0
2022-08-18,COK,95,0
2022-08-19,COK,107,0
2022-08-20,COK,97,0
2022-08-21,COK,121,6
2022-08-22,COK,136,0
2022-08-23,COK,77,3
2022-08-24,COK,103,1
2022-08-25,COK,67,2
2022-08-26,COK,82,1
2022-08-27,COK,97,1
2022-08-28,COK,70,7
2022-08-29,COK,103,3
2022-08-30,COK,101,0
2022-08-31,COK,86,0
2022-09-01,BLR,6,0
2022-09-01,COK,88,0
2022-09-02,BLR,2,3
2022-09-02,COK,104,2
2022-09-02,MYQ,1,0
2022-09-03,BLR,1,1
2022-09-03,COK,89,0
2022-09-04,BLR,1,1
2022-09-04,COK,13,3
2022-09-05,BLR,1,5
2022-09-05,COK,8,1
2022-09-06,BLR,2,5
2022-09-06,COK,14,1
2022-09-07,BLR,0,29
2022-09-07,COK,11,0
2022-09-07,MYQ,0,2
2022-09-08,BLR,1,18
2022-09-08,COK,47,0
2022-09-08,MYQ,0,4
2022-09-09,BLR,0,5
2022-09-09,COK,63,0
2022-09-10,BLR,0,1
2022-09-10,COK,98,1
2022-09-11,BLR,0,4
2022-09-11,COK,102,0
2022-09-12,BLR,0,2
2022-09-12,COK,87,6
2022-09-13,BLR,2,1
2022-09-13,COK,11,13
2022-09-14,BLR,0,1
2022-09-14,COK,102,2
2022-09-15,BLR,0,3
2022-09-15,COK,151,0
2022-09-16,BLR,2,10
2022-09-16,COK,113,0
2022-09-16,MYQ,0,2
2022-09-17,BLR,4,4
2022-09-17,COK,38,0
2022-09-18,BLR,1,1
2022-09-18,COK,14,1
2022-09-19,BLR,0,5
2022-09-19,COK,104,1
2022-09-20,BLR,1,6
2022-09-20,COK,108,1
2022-09-21,BLR,2,6
2022-09-21,COK,92,0
2022-09-21,MYQ,1,0
2022-09-22,BLR,2,2
2022-09-22,COK,83,0
2022-09-22,MYQ,1,0
2022-09-23,BLR,2,53
2022-09-23,COK,105,1
2022-09-24,BLR,3,3
2022-09-24,COK,104,2
2022-09-25,BLR,1,0
2022-09-25,COK,95,0
2022-09-26,BLR,0,6
2022-09-26,COK,110,0
2022-09-27,COK,73,0
2022-09-28,BLR,2,2
2022-09-28,COK,35,1
2022-09-29,BLR,3,1
2022-09-29,COK,109,0
2022-09-30,BLR,2,0
2022-09-30,COK,88,0
2022-10-01,BLR,1,0
2022-10-01,COK,116,0
2022-10-02,COK,92,2
2022-10-03,BLR,2,2
2022-10-03,COK,108,0
2022-10-04,COK,82,0
2022-10-05,BLR,0,1
2022-10-05,COK,77,0
2022-10-06,BLR,2,3
2022-10-06,COK,66,4
2022-10-07,BLR,4,52
2022-10-07,COK,99,0
2022-10-07,MYQ,0,1
2022-10-08,BLR,0,311
2022-10-08,COK,115,0
2022-10-08,MYQ,0,14
2022-10-08,TRT,0,1
2022-10-09,BLR,2,575
2022-10-09,COK,135,0
2022-10-09,MYQ,0,31
2022-10-09,TRT,0,1
2022-10-10,BLR,1273,931
2022-10-10,COK,42,2
2022-10-10,MYQ,32,60
2022-10-10,TRT,10,1
2022-10-11,BLR,1239,719
2022-10-11,COK,67,3
2022-10-11,MYQ,15,60
2022-10-11,TRT,5,2
2022-10-12,BLR,1709,839
2022-10-12,COK,103,1
2022-10-12,MYQ,48,242
2022-10-12,TRT,5,1
2022-10-13,BLR,2386,1341
2022-10-13,COK,108,1
2022-10-13,MYQ,54,278
2022-10-13,TRT,9,5
2022-10-14,BLR,1589,790
2022-10-14,COK,85,0
2022-10-14,MYQ,40,130
2022-10-14,TRT,7,1
2022-10-15,BLR,1382,542
2022-10-15,COK,92,1
2022-10-15,MYQ,26,77
2022-10-15,TRT,7,2
2022-10-16,BLR,777,234
2022-10-16,COK,119,0
2022-10-16,MYQ,15,24
2022-10-16,TRT,5,0
2022-10-17,BLR,898,214
2022-10-17,COK,85,1
2022-10-17,MYQ,11,44
2022-10-17,TRT,3,0
2022-10-18,BLR,1111,218
2022-10-18,COK,70,0
2022-10-18,MYQ,8,31
2022-10-18,TRT,7,0
2022-10-19,BLR,743,197
2022-10-19,COK,91,3
2022-10-19,MYQ,12,33
2022-10-19,TRT,2,0
2022-10-20,BLR,3360,216
2022-10-20,COK,107,0
2022-10-20,MYQ,35,25
2022-10-20,TRT,6,0
2022-10-21,BLR,2428,196
2022-10-21,COK,100,3
2022-10-21,MYQ,17,28
2022-10-21,TRT,9,0
2022-10-22,BLR,1706,189
2022-10-22,COK,133,1
2022-10-22,MYQ,21,18
2022-10-22,TRT,7,0
2022-10-23,BLR,780,182
2022-10-23,COK,113,0
2022-10-23,MYQ,9,13
2022-10-23,TRT,2,0
2022-10-24,BLR,827,184
2022-10-24,COK,111,0
2022-10-24,MYQ,20,20
2022-10-24,TRT,4,0
2022-10-25,BLR,1008,154
2022-10-25,COK,114,11
2022-10-25,MYQ,17,9
2022-10-25,TRT,4,0
2022-10-26,BLR,666,135
2022-10-26,COK,111,1
2022-10-26,MYQ,10,9
2022-10-26,TRT,2,0
2022-10-27,BLR,519,132
2022-10-27,COK,98,0
2022-10-27,MYQ,8,12
2022-10-27,TRT,4,0
2022-10-28,BLR,2708,157
2022-10-28,COK,107,2
2022-10-28,MYQ,19,8
2022-10-28,TRT,7,0
2022-10-29,BLR,6663,180
2022-10-29,COK,103,0
2022-10-29,MYQ,30,14
2022-10-29,TRT,17,1
2022-10-30,BLR,8004,197
2022-10-30,COK,110,1
2022-10-30,MYQ,45,9
2022-10-30,TRT,28,0
2022-10-31,BLR,6113,388
2022-10-31,COK,146,3
2022-10-31,MYQ,62,24
2022-10-31,TRT,26,0
2022-11-01,BLR,10844,681
2022-11-01,COK,159,1
2022-11-01,MYQ,88,32
2022-11-01,TRT,44,0
2022-11-02,BLR,8204,553
2022-11-02,COK,161,1
2022-11-02,MYQ,66,29
2022-11-02,TRT,33,1
2022-11-03,BLR,4921,534
2022-11-03,COK,101,1
2022-11-03,MYQ,48,21
2022-11-03,TRT,20,0
2022-11-04,BLR,3448,534
2022-11-04,COK,56,0
2022-11-04,MYQ,28,32
2022-11-04,TRT,12,3
2022-11-05,BLR,4684,396
2022-11-05,COK,41,3
